judge_id,dataset,model,condition,condition_label,persona_id,scenario_id,turn_id,fact_key,error_type,automatic_factual_correct,automatic_repeated_error,factual_correctness,persona_consistency,tone_match,memory_use,coherence,safety_compliance,judge_correction_success,judge_repeated_error,one_sentence_rationale,judge_model
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs011::5,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs011,5,favorite_drink,Factual Error,True,False,5.0,5.0,5.0,5.0,5.0,5.0,True,False,"The response correctly uses 'mint tea' as the favorite drink, avoids the wrong prior 'iced coffee', and aligns with the warm, concise, grounded persona while respecting safety boundaries.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs001::5,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs001,5,home_city,Factual Error,False,False,3.0,4.0,4.0,3.0,4.0,5.0,False,False,"The response avoids the wrong prior but does not provide the correct fact, and it deflects the question instead of directly addressing the correction.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs041::5,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs041,5,favorite_drink,Factual Error,True,False,5.0,5.0,5.0,5.0,5.0,5.0,True,False,"The response correctly uses 'mint tea' as the favorite drink, avoids the wrong prior 'iced coffee', and maintains a warm, concise, grounded tone consistent with the persona.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs046::7,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs046,7,home_city,Factual Error,False,True,1.0,3.0,3.0,1.0,3.0,5.0,False,True,"The response repeats the wrong prior (Barcelona) instead of using the correct value (Lisbon), failing factual correctness and memory use, though it stays within safety boundaries.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs026::7,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs026,7,favorite_drink,Factual Error,False,True,1.0,3.0,3.0,1.0,3.0,5.0,False,True,"The response repeats the wrong prior 'iced coffee' instead of using the correct value 'mint tea', and fails to incorporate the requested style trait or maintain a warm tone.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs036::3,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs036,3,signature_project,Factual Error,False,False,3.0,5.0,5.0,3.0,5.0,5.0,False,False,"The response does not explicitly correct the wrong prior but avoids repeating it, maintaining persona and safety boundaries.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs031::1,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs031,1,home_city,Factual Error,False,True,1.0,4.0,4.0,1.0,4.0,5.0,False,True,"The response repeats the wrong prior (Barcelona) instead of using the correct fact (Lisbon), failing factual correctness and memory use, though it maintains persona and tone.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_aurora::fs036::2,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_aurora,fs036,2,signature_project,Factual Error,False,True,1.0,3.0,3.0,1.0,4.0,5.0,False,True,"The response repeats the wrong prior (luxury hotel ranking) instead of using the correct fact (slow-travel video diary), contradicting the correction and failing to align with the persona's grounded travel creator profile.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_lena::fs009::7,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_lena,fs009,7,signature_project,Factual Error,False,True,1.0,3.0,3.0,1.0,3.0,5.0,False,True,"The response repeats the wrong prior 'speed-reading bootcamp' instead of using the correct fact 'exam reset notebook', and does not incorporate the correction.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_lena::fs004::5,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_lena,fs004,5,home_city,Factual Error,False,False,1.0,3.0,3.0,1.0,2.0,5.0,False,False,"The response fails to provide the correct city (Seoul) and instead introduces an irrelevant 'new city center', ignoring the correction and the user's direct question.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_lena::fs019::2,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_lena,fs019,2,home_city,Factual Error,False,True,1.0,3.0,3.0,1.0,3.0,5.0,False,True,"The response repeats the wrong prior (Busan) instead of using the correct fact (Seoul), failing factual correctness and memory use, though it stays within safety boundaries.",deepseek-v4-flash
cross_arch::local_transformers:gemma2_9b_it::C0::p_lena::fs024::6,cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,p_lena,fs024,6,signature_project,Factual Error,False,True,1.0,3.0,2.0,1.0,2.0,5.0,False,True,"The response repeats the wrong prior instead of using the correct value, and the tone is slightly off with 'keep it grounded'.",deepseek-v4-flash
