dataset,condition,condition_label,n_prompts,prompts_with_correct_value,correct_in_user_query,correct_in_retrieved_memory,correct_before_memory_block,unauthorized_direct_answer_leaks
cross_arch,C0,C0 No memory,1200,0,0,0,0,0
cross_arch,C1,C1 Positive-only memory,1200,0,0,0,0,0
cross_arch,C2,C2 Error memory,1200,1050,0,1050,0,0
cross_arch,C3,C3 Mixed memory,1200,1050,0,1050,0,0
cross_arch,C4,C4 Direct Correction Baseline,1200,1200,0,1200,0,0
main_qwen7b14b,C0,C0 No memory,800,0,0,0,0,0
main_qwen7b14b,C1,C1 Positive-only memory,800,0,0,0,0,0
main_qwen7b14b,C2,C2 Error memory,800,700,0,700,0,0
main_qwen7b14b,C3,C3 Mixed memory,800,700,0,700,0,0
main_qwen7b14b,C4,C4 Direct Correction Baseline,800,800,0,800,0,0
