dataset,model,condition,condition_label,n,factual_correctness_mean,persona_consistency_mean,memory_use_mean,judge_correction_success_rate,judge_repeated_error_rate
cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,40,1.5,3.4,1.5,0.05,0.725
cross_arch,local_transformers:gemma2_9b_it,C1,C1 Positive-only memory,40,1.35,3.25,1.325,0.0,0.75
cross_arch,local_transformers:gemma2_9b_it,C2,C2 Error memory,40,5.0,5.0,5.0,1.0,0.0
cross_arch,local_transformers:gemma2_9b_it,C3,C3 Mixed memory,40,5.0,5.0,5.0,1.0,0.0
cross_arch,local_transformers:gemma2_9b_it,C4,C4 Direct Correction Baseline,40,4.85,4.925,4.85,0.95,0.0
cross_arch,local_transformers:llama31_8b_instruct,C0,C0 No memory,40,1.2,3.225,1.2,0.025,0.9
cross_arch,local_transformers:llama31_8b_instruct,C1,C1 Positive-only memory,40,1.125,3.125,1.1,0.025,0.9
cross_arch,local_transformers:llama31_8b_instruct,C2,C2 Error memory,40,4.85,4.7,4.85,0.95,0.025
cross_arch,local_transformers:llama31_8b_instruct,C3,C3 Mixed memory,40,5.0,4.65,5.0,1.0,0.0
cross_arch,local_transformers:llama31_8b_instruct,C4,C4 Direct Correction Baseline,40,4.95,4.9,4.95,0.975,0.0
cross_arch,local_transformers:mistral7b_instruct_v03,C0,C0 No memory,40,1.1,3.125,1.1,0.025,0.975
cross_arch,local_transformers:mistral7b_instruct_v03,C1,C1 Positive-only memory,40,1.425,3.2,1.4,0.075,0.85
cross_arch,local_transformers:mistral7b_instruct_v03,C2,C2 Error memory,40,5.0,5.0,5.0,1.0,0.0
cross_arch,local_transformers:mistral7b_instruct_v03,C3,C3 Mixed memory,40,4.925,4.975,4.9,0.975,0.025
cross_arch,local_transformers:mistral7b_instruct_v03,C4,C4 Direct Correction Baseline,40,5.0,5.0,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C0,C0 No memory,40,1.275,3.3,1.25,0.0,0.825
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C1,C1 Positive-only memory,40,1.1,3.225,1.075,0.0,0.9
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C2,C2 Error memory,40,5.0,5.0,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C3,C3 Mixed memory,40,5.0,5.0,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C4,C4 Direct Correction Baseline,40,5.0,5.0,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C0,C0 No memory,40,1.3,3.225,1.3,0.0,0.8
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C1,C1 Positive-only memory,40,1.1,3.1,1.05,0.0,0.85
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C2,C2 Error memory,40,4.9,4.925,4.9,0.975,0.025
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C3,C3 Mixed memory,40,4.95,4.975,4.9,0.975,0.0
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C4,C4 Direct Correction Baseline,40,4.85,4.925,4.85,0.925,0.0
